"Varietas","fosfor","boron","Warna","rasa","teknik","Musim","Penyakit","PH","Grade_mutu"
"0.4","0.015827457831629","0.6003596609293","1","0","0","1","0.5","0.33333333333333","3"
"0.8","0.027777777777778","0.39880952380952","1","1","0","1","0.25","1","3"
"1","0.95019507961621","0","0","1","1","1","0.75","1","0"
"1","0.94444444444444","0.0014749373981412","0","1","1","1","0.25","1","0"
"1","0.046012235185752","0.001984126984127","0","1","1","1","0.75","1","0"
"0.2","0.032324693787139","0.79365079365079","0.66666666666667","1","0","0","1","0.66666666666667","1"
"1","0.03917460480721","0.001984126984127","0","1","1","1","0.25","1","0"
"1","0.96296296296296","0.003968253968254","1","1","0","0","0.25","0.66666666666667","2"
"0.4","0.9537037037037","0.59780182729244","1","0","0","1","0.25","0.33333333333333","3"
"0","0.93518518518518","0.99801587301587","0.33333333333333","0","0","0","0.75","0","2"
"0.8","0.037037037037036","0.40079365079365","1","1","0","1","0.75","1","2"
"0.8","0.97222222222222","0.39914720363409","1","1","0","1","0","0.33333333333333","3"
"1","0.0099936925391733","0.005952380952381","0","1","1","1","0.75","1","0"
"0.4","0.055555555555554","0.6031746031746","1","0","0","1","0.5","1","2"
"0.4","0.037037037037036","0.59767230215735","1","0","0","1","0.25","0.33333333333333","3"
"1","0.0098567560849929","0.001984126984127","0","1","1","1","0.25","1","0"
"1","0.9537037037037","0.0049689286409775","0","1","1","1","0.25","1","0"
"0.4","0.037037037037036","0.59920634920635","1","0","0","1","0.5","0.33333333333333","3"
"0.4","0.040905956682749","0.59722222222222","1","0","0","1","0","0.33333333333333","3"
"1","0.93518518518518","0.003968253968254","1","1","0","0","0","0.66666666666667","2"
"0.8","0.94444444444444","0.40079365079365","1","1","0","1","0","1","2"
"1","0.025908754754149","0","0","1","1","1","0.75","1","0"
"1","0.97222222222222","0.005952380952381","0","1","1","1","0","1","1"
"0.4","0.037037037037036","0.5978938869568","1","0","1","0","1","0","1"
"0","0.96296296296296","0.99603174603175","0.33333333333333","0","1","1","0.5","0.33333333333333","2"
"0.2","0.030100314998442","0.79712136107176","0.66666666666667","1","1","1","1","1","1"
"1","0.01617851852669","0.0005014285696773","0","1","1","1","0.25","1","0"
"0.4","0.94444444444444","0.59920634920635","1","0","0","1","0","1","2"
"0.6","0.94444444444444","0.20238095238095","1","0","0","0","1","0","1"
"0.2","0.018518518518517","0.8015873015873","0.66666666666667","1","1","1","1","0.33333333333333","1"
"1","0.046296296296296","0","0","1","1","1","0.25","1","0"
"0.2","0.96296296296296","0.79365079365079","0.66666666666667","1","0","0","0.75","0","2"
"0.8","0.017097681094713","0.39880952380952","1","1","1","0","0.25","0","3"
"0.6","0.046296296296296","0.20039682539683","1","0","1","1","0.75","0.33333333333333","2"
"1","0.96095214258587","0.0035373638874494","0","1","1","1","0.75","1","0"
"0.4","0.046296296296296","0.59722222222222","1","0","0","1","0.5","0.33333333333333","3"
"0.4","0.027777777777778","0.59920634920635","1","0","1","0","0.5","0","2"
"0.2","0.027777777777778","0.001984126984127","0.66666666666667","1","0","0","1","0","1"
"0.4","0.018518518518517","0.59920634920635","1","0","1","0","0.25","0","3"
"0.8","0.046636170066593","0.40079365079365","1","1","0","1","0.25","0.33333333333333","3"
"0.2","0.95934090688348","0.79761904761905","0.66666666666667","1","0","0","0.25","0.66666666666667","1"
"0.2","0.93518518518518","0.79563492063492","0.66666666666667","1","0","0","0.75","0","2"
"0","0.96296296296296","0.99603174603175","0.33333333333333","0","0","0","0.25","0","2"
"1","0.036974804954311","0.005952380952381","0","1","1","1","0.25","1","0"
"1","0.96296296296296","0.001984126984127","0","1","1","1","0.5","1","1"
"0.4","0.95868031271017","0.59813993299068","1","0","0","1","0","0.33333333333333","3"
"1","0.94444444444444","0.00093242424586359","0","1","1","1","0.25","1","0"
"0","0.94444444444444","0.99603174603175","0.33333333333333","0","1","1","0.75","1","1"
"0","0.9537037037037","0.99801587301587","0.33333333333333","0","0","0","0.25","0","2"
"0.4","0.020661849673308","0.59920634920635","1","0","0","1","0.25","0.33333333333333","3"
"0.6","0.018518518518517","0.20039682539683","1","0","0","0","0","0","2"
"0.8","0.01215634079078","0.39943032699485","1","1","0","1","0.75","0.33333333333333","3"
"0.2","0.97222222222222","0.79563492063492","0.66666666666667","1","1","1","1","0.33333333333333","1"
"1","0.94444444444444","0.001984126984127","0","1","1","1","0","0.33333333333333","2"
"1","0.029762634311905","0.001984126984127","0","1","1","1","0.25","1","0"
"1","0.9537037037037","0.0015495705662167","0","1","1","1","0.25","1","0"
"0.2","0.018518518518517","0.79563492063492","0.66666666666667","1","0","0","0","0","2"
"1","0.94698606462452","0.003968253968254","0","1","1","1","0.75","1","0"
"1","0.048449815666284","0.005490912515955","1","1","0","0","0.5","0","3"
"1","0.027777777777778","0.0028552893241663","1","1","0","0","0.5","0","3"
"1","0.9537037037037","0","0","1","1","1","0","1","1"
"1","0.033615992024452","0","0","1","1","1","0.25","1","0"
"0.4","0.97222222222222","0.59722222222222","1","0","1","0","0","0.66666666666667","2"
"0.8","0.93518518518518","0.39880952380952","1","1","0","1","0.5","1","2"
"0","0.046296296296296","0.99404761904762","0.33333333333333","0","1","1","0","0.33333333333333","2"
"0.8","0.94444444444444","0.4047619047619","1","1","0","1","0.25","0.33333333333333","3"
"0","0.93518518518518","0.99404761904762","0.33333333333333","0","1","1","1","0.33333333333333","1"
"1","0.0092592592592586","0.001984126984127","1","1","0","0","1","0","1"
"0.4","0.037037037037036","0.59722222222222","1","0","0","1","0.75","0.33333333333333","3"
"0","0.94444444444444","1","0.33333333333333","0","1","1","0.5","1","2"
"0.2","0.037037037037036","0.8015873015873","0.66666666666667","1","1","1","0.75","0.33333333333333","2"
"0","0.037037037037036","1","0.33333333333333","0","0","0","0.25","0","2"
"0.4","0.014670482182365","0.59838176999146","1","0","0","1","0.25","1","3"
"0","0.96296296296296","0.99404761904762","0.33333333333333","0","1","1","0.75","1","1"
"1","0.018518518518517","0.00010181347847649","0","1","1","1","0.25","1","0"
"0","0.97222222222222","0.99801587301587","0.33333333333333","0","1","1","1","1","1"
"1","0.97222222222222","0.003968253968254","1","1","0","0","0","0","3"
"1","0.047610053462487","0.00028151939275514","0","1","1","1","1","1","1"
"0","0.94444444444444","0.99603174603175","0.33333333333333","0","0","0","0.5","0.66666666666667","2"
"0.6","0.020229583388685","0.20039682539683","1","0","1","1","0.75","1","1"
"0","0.96296296296296","0.99603174603175","0.33333333333333","0","1","1","0","1","2"
"0.2","0.055555555555554","0.79761904761905","0.66666666666667","1","0","0","0.75","0","2"
"1","0.94444444444444","0.0040941509189591","0","1","1","1","0.75","1","0"
"1","0.018518518518517","0.005952380952381","0","1","1","1","0","1","1"
"0.2","0.0092592592592586","0.79365079365079","0.66666666666667","1","1","1","0.75","0.33333333333333","2"
"0.2","0.94582107012192","0.79592991185152","0.66666666666667","1","0","0","0.25","0.66666666666667","1"
"1","0.9537037037037","0.0039738765923958","0","1","1","1","0.25","1","0"
"0.4","0.027777777777778","0.59920634920635","1","0","0","1","0","0.33333333333333","3"
"1","0.93855211759132","0.005952380952381","0","1","1","1","0.75","1","0"
"1","0.9537037037037","0.0025505790232144","0","1","1","1","0.5","1","1"
"0","0.96296296296296","0.99404761904762","0.33333333333333","0","0","0","0.5","0","2"
"1","0.0092592592592586","0","1","1","0","0","0.25","0.66666666666667","2"
"1","0.027777777777778","0","1","1","0","0","0.5","0.66666666666667","2"
"0.2","0.97222222222222","0.79365079365079","0.66666666666667","1","0","0","1","0","1"
"0.6","0.037037037037036","0.20238095238095","1","0","1","1","1","1","1"
"0","0.93518518518518","0.99404761904762","0.33333333333333","0","1","1","0.5","1","2"
"1","0.95122926486126","0.0044984908630641","0","1","1","1","0.75","0.33333333333333","1"
"1","0.039601918427785","0.005952380952381","0","1","1","1","0.75","1","0"
"1","0.96398412295054","0.005952380952381","0","1","1","1","0.25","1","0"
"0.8","0.019397180377218","0.40079365079365","1","1","1","0","0.25","0","3"
"1","0.94214861556281","0.00049196333177903","0","1","1","1","0.25","1","0"
"0.4","0.055555555555554","0.59722222222222","1","0","1","0","0.5","0.66666666666667","2"
"1","0.0092592592592586","0.005952380952381","1","1","0","0","0.25","0","3"
"1","0.94444444444444","0.00034210772690607","0","1","1","1","0.25","1","0"
"0","0.97222222222222","0.99404761904762","0.33333333333333","0","1","1","0","0.33333333333333","2"
"0","0.96296296296296","0.99698461962756","0.33333333333333","0","1","1","1","0.33333333333333","1"
"1","0.97222222222222","0.001984126984127","1","1","0","0","0.25","0.66666666666667","2"
"1","0.023874720517664","0","0","1","1","1","0.75","1","0"
"1","0.0065077459148917","0.003968253968254","0","1","1","1","0.75","1","0"
"1","0.043624721539038","0.001984126984127","0","1","1","1","0.25","1","0"
"0.8","0","0.40079365079365","1","1","1","0","0.5","0","2"
"0.4","0.018518518518517","0.59722222222222","1","0","1","0","0.5","0","2"
"0.4","0.037037037037036","0.59722222222222","1","0","1","0","0.5","0","2"
"1","0.94706364207052","0.003968253968254","0","1","1","1","0.75","1","0"
"0.6","0.95086223583571","0.20039682539683","1","0","0","0","0.75","0.66666666666667","1"
"0","0.037037037037036","0.99404761904762","0.33333333333333","0","1","1","0.5","0.33333333333333","2"
"0","0.93518518518518","0.99603174603175","0.33333333333333","0","0","0","0.75","0","2"
"1","0.95288701996536","0.001984126984127","0","1","1","1","0.25","1","0"
"0.6","0.97222222222222","0.20039682539683","1","0","0","0","1","0.66666666666667","1"
"1","0.9698795249838","0.0002510032755455","0","1","1","1","0.25","1","0"
"0.2","0.93518518518518","0.79365079365079","0.66666666666667","1","0","0","0.75","0","2"
"0.4","0.055555555555554","0.59920634920635","1","0","0","1","1","0.33333333333333","1"
"0.6","0.018518518518517","0.20039682539683","1","0","0","0","1","0","1"
"0.6","0.018518518518517","0.20238095238095","1","0","1","1","0","1","2"
"1","0.9537037037037","0.00057871855205141","0","1","1","1","0.25","1","0"
"1","0.93694459336701","0.003968253968254","0","1","1","1","0.25","1","0"
"0.8","0.013916923058365","0.40276576313372","1","1","0","1","0","0.33333333333333","3"
"0","0.9537037037037","1","0.33333333333333","0","0","0","0.25","0","2"
"0.6","0.046296296296296","0.20039682539683","1","0","0","0","0.25","0.66666666666667","1"
"1","0.96296296296296","0.003968253968254","1","1","0","0","0.75","0.66666666666667","2"
"0.4","0.0092592592592586","0.59920634920635","1","0","1","0","0","0","2"
"0.4","0.033251046998627","0.59803350580188","1","0","1","0","0.25","0","3"
"0.6","0.93518518518518","0.20436507936508","1","0","1","1","0.25","1","2"
"1","0.053328233460027","0.004997814340012","0","1","1","1","0.25","1","0"
"0.4","0.018518518518517","0.59826695519056","1","0","0","1","0.5","0.33333333333333","3"
"0.6","0.93518518518518","0.20039682539683","1","0","0","0","0","0","2"
"0.8","0.9471160192017","0.40022117048852","1","1","0","1","0.75","0.33333333333333","3"
"0.8","0.0092592592592586","0.4047619047619","1","1","1","0","1","0","1"
"0.2","0.97222222222222","0.79365079365079","0.66666666666667","1","0","0","0.5","0.66666666666667","2"
"0.4","0.97222222222222","0.59920634920635","1","0","1","0","0.5","0.66666666666667","2"
"0.4","0.064814814814815","0.59920634920635","1","0","1","0","0.75","0","3"
"0.8","0.97222222222222","0.40079365079365","1","1","0","1","0.25","0.33333333333333","3"
"1","0.012182982621457","0.0046470613857962","1","1","0","0","0.5","0","3"
"1","0.037037037037036","0.003968253968254","1","1","0","0","0.25","0.66666666666667","2"
"0.6","0.037037037037036","0.20039682539683","1","0","0","0","0.25","0.66666666666667","1"
"0.2","0.96296296296296","0.79365079365079","0.66666666666667","1","0","0","1","0.66666666666667","1"
"0","0.0092592592592586","0.99603174603175","0.33333333333333","0","0","0","0.5","0","2"
"0.4","0.021552486958888","0.59722222222222","1","0","0","1","0.75","0.33333333333333","3"
"0","0.94444444444444","0.99404761904762","0.33333333333333","0","0","0","0.25","0","2"
"0.4","0.94444444444444","0.59920634920635","1","0","0","1","0.5","1","2"
"0.8","0.96296296296296","0.39880952380952","1","1","0","1","0.5","0.33333333333333","3"
"0.6","0.037037037037036","0.20238095238095","1","0","0","0","1","0.66666666666667","1"
"1","0.017606264600396","0","0","1","1","1","0.25","1","0"
"1","0.0081217800749647","0.0037245084287624","0","1","1","1","0.25","0.33333333333333","1"
"1","0.9537037037037","0.003968253968254","0","1","1","1","0","1","1"
"1","0.037037037037036","0.005952380952381","1","1","0","0","0","0.66666666666667","2"
"0.4","0.018518518518517","0.59882436174553","1","0","0","1","1","1","1"
"0.8","0.0092592592592586","0.39880952380952","1","1","0","1","1","1","1"
"1","0.016153649398841","0.001477369315625","0","1","1","1","0.25","1","0"
"1","0.96250620034406","0","0","1","1","1","0.25","1","0"
"0.6","0.97222222222222","0.20238095238095","1","0","1","1","1","1","1"
"0.8","0.046296296296296","0.40079365079365","1","1","0","1","0.5","0.33333333333333","3"
"1","0.017458624120745","0.005952380952381","0","1","1","1","0.75","1","0"
"0.8","0.048134239158244","0.40079365079365","1","1","0","1","0.25","0.33333333333333","3"
"0.6","0.036915039434665","0.20039682539683","1","0","1","1","0","0.33333333333333","3"
"1","0.018518518518517","0.0056470229645907","0","1","1","1","0.75","1","0"
"0","0.94444444444444","0.99603174603175","0.33333333333333","0","0","0","0.5","0","2"
"0.2","0.94444444444444","0.79365079365079","0.66666666666667","1","0","0","1","0","1"
"0","0.94444444444444","1","0.33333333333333","0","1","1","0.5","0.33333333333333","2"
"0.2","0.96296296296296","0.001984126984127","0.66666666666667","1","0","0","0.5","0.66666666666667","2"
"1","0.0092592592592586","0.0009658104118716","0","1","1","1","0.25","1","0"
"1","0.015945896942494","0.001984126984127","0","1","1","1","0.75","1","0"
"0.8","0.93518518518518","0.40079365079365","1","1","0","1","0.25","0.33333333333333","3"
"0.8","0.93518518518518","0.40079365079365","1","1","1","0","0","0.66666666666667","2"
"0.4","0.94367757849678","0.59875139956466","1","0","0","1","0.5","0.33333333333333","3"
"0.6","0.97222222222222","0.20238095238095","1","0","0","0","0.5","0","2"
"1","0.052979657627625","0.001984126984127","0","1","1","1","0.75","1","0"
"0.4","0.94444444444444","0.59722222222222","1","0","1","0","0.75","0.66666666666667","2"
"1","0.93690142597805","0.003968253968254","0","1","1","1","0.25","1","0"
"1","0.94202853744695","0.0054346865957749","0","1","1","1","0.75","1","0"
"1","0.022969092785078","0.001984126984127","1","1","0","0","0.5","0","3"
"0.6","0.97222222222222","0.20039682539683","1","0","0","0","0","0.66666666666667","2"
"1","0.9537037037037","0.005952380952381","0","1","1","1","0.25","1","0"
"1","0.04256752755607","0.005952380952381","0","1","1","1","0.75","1","0"
"0","0.94444444444444","0.99801587301587","0.33333333333333","0","1","1","0.25","0.33333333333333","2"
"0","0.9537037037037","0.99404761904762","0.33333333333333","0","0","0","1","0","1"
"0.8","0.9537037037037","0.4047619047619","1","1","1","0","0.5","0","2"
"0.4","0.94444444444444","0.59722222222222","1","0","0","1","0.75","1","2"
"0.8","0.055555555555554","0.4047619047619","1","1","1","0","0","0","2"
"0.2","0.046296296296296","0.79761904761905","0.66666666666667","1","0","0","1","0.66666666666667","1"
"0.8","0.0092592592592586","0.40079365079365","1","1","1","0","0.75","0","3"
"1","0.96135868305986","0","0","1","1","1","0.75","1","0"
"1","0.037037037037036","0.003968253968254","0","1","1","1","0.5","1","1"
"0.2","0.93721236960527","0.79365079365079","0.66666666666667","1","1","1","0.25","1","1"
"0.4","0.96296296296296","0.59722222222222","1","0","0","1","1","0.33333333333333","1"
"1","0.94444444444444","0","1","1","0","0","0.25","0","3"
"1","0.9537037037037","0.001984126984127","1","1","0","0","1","0.66666666666667","1"
"0.2","0.97222222222222","0.79563492063492","0.66666666666667","1","0","0","0.25","0","2"
"0.4","0.018518518518517","0.59722222222222","1","0","0","1","0.75","1","2"
"1","0.027777777777778","0","1","1","0","0","0.5","0","3"
"0.2","0.037037037037036","0.79761904761905","0.66666666666667","1","0","0","0.25","0","2"
"1","0.051017731104772","0.0010117360303878","0","1","1","1","0.75","1","0"
"0.8","0.9537037037037","0.39880952380952","1","1","1","0","0","0","2"
"0","0.037037037037036","1","0.33333333333333","0","1","1","0.5","1","2"
"0.2","0.027942807259505","0.79761904761905","0.66666666666667","1","1","1","1","1","1"
"0.8","0.046296296296296","0.39880952380952","1","1","1","0","0.75","0","3"
"1","0.03756412660348","0.0058394331881431","1","1","0","0","0","0","3"
"0","0.027777777777778","0.99603174603175","0.33333333333333","0","0","0","0.75","0.66666666666667","1"
"0","0.0092592592592586","1","0.33333333333333","0","1","1","1","0.33333333333333","1"
"1","0.037171894895218","0","0","1","1","1","0.75","1","0"
"0.2","0.014709822986969","0.79761904761905","0.66666666666667","1","1","1","1","1","1"
"0.8","0.97222222222222","0.40079365079365","1","1","0","1","0","1","2"
"1","0.94444444444444","0.005952380952381","1","1","0","0","0.75","0.66666666666667","2"
"1","0.013974964335953","0.001984126984127","0","1","1","1","0.75","1","0"
"1","0.9537037037037","0","1","1","0","0","0.25","0","3"
"0.2","0.046296296296296","0.79365079365079","0.66666666666667","1","0","0","0.25","0.66666666666667","1"
"1","0.0092592592592586","0.003968253968254","0","1","1","1","0.25","0.33333333333333","1"
"1","0.9537037037037","0.0013708961550462","0","1","1","1","0.75","1","0"
"0.6","0.027777777777778","0.20039682539683","1","0","0","0","0.25","0.66666666666667","1"
"0.6","0.055555555555554","0.20039682539683","1","0","1","1","1","1","1"
"1","0.97222222222222","0.0040271048406692","0","1","1","1","0.75","1","0"
"1","0.018097645474976","0","0","1","1","1","0.75","1","0"
"1","0.050447809093582","0.001984126984127","0","1","1","1","0.75","1","0"
"0","0.9537037037037","0.99603174603175","0.33333333333333","0","0","0","0.5","0","2"
"0.4","0.96296296296296","0.6031746031746","1","0","1","0","1","0.66666666666667","1"
"0.8","0.0092592592592586","0.39880952380952","1","1","1","0","0.25","0","3"
"1","0.042527818959026","0","1","1","0","0","0.75","0","3"
"0.4","0.018518518518517","0.59920634920635","1","0","1","0","0.25","0.66666666666667","2"
"0.6","0.027777777777778","0.20039682539683","1","0","0","0","0","0.66666666666667","2"
"0.6","0","0.20039682539683","1","0","0","0","0","0","2"
"0.8","0.018518518518517","0.40079365079365","1","1","1","0","0.25","0.66666666666667","2"
"1","0.037037037037036","0.0019749184148667","1","1","0","0","0.25","0","3"
"1","0.043160903073607","0.0032963839919636","1","1","0","0","0.75","0","3"
"0.2","0.037037037037036","0.001984126984127","0.66666666666667","1","0","0","0","0","2"
"0.4","0.0092592592592586","0.6031746031746","1","0","0","1","0.75","1","2"
"0.2","0.027350043834885","0.8015873015873","0.66666666666667","1","0","0","0.75","0.66666666666667","1"
"0.2","0.9537037037037","0.79761904761905","0.66666666666667","1","0","0","0.5","0","2"
"1","0.04131754523011","0.0010668752284684","1","1","0","0","0.75","0","3"
"0.6","0.93745622212351","0.20436507936508","1","0","1","1","0.5","0.33333333333333","3"
"0","0.9537037037037","0.99657138532601","0.33333333333333","0","1","1","1","0.33333333333333","1"
"0.8","0.027777777777778","0.40067199903543","1","1","0","1","0","0.33333333333333","3"
"0.2","0.0092592592592586","0.79563492063492","0.66666666666667","1","0","0","0","0.66666666666667","2"
"1","0.94444444444444","0.0013142439015056","0","1","1","1","0.25","1","0"
"1","0.93518518518518","0.001984126984127","1","1","0","0","0.25","0","3"
