Varietas,fosfor,boron,Warna,rasa,teknik,Musim,Penyakit,PH,Grade_mutu
panda wangi,6.02,1.03,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
ciheran,7.01,2.03,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
mi kongga,6.03,3.03,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
IR 64,6.04,4.02,putih,pulen,SRI,Hujan,tikus,4,Grade C
Beras Merah,7.05,5.02,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
Beras Hitam,7.03,6.02,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
panda wangi,6.05,1.04,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
ciheran,7.05,2.02,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
mi kongga,6.02,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
IR 64,6.05,4.02,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
Beras Merah,7.02,5.03,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
Beras Hitam,7.01,6.02,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
panda wangi,6.03,1.02,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
ciheran,7.03,2.03,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
mi kongga,6.02,3.03,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
IR 64,6.04,4.02,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
Beras Merah,7.05,5.01,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
Beras Hitam,7.02,6.03,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
panda wangi,6.04,1.02,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
ciheran,7.02,2.03,putih,pulen,SRI,Kemarau,Burung,3,Grade D
mi kongga,6.04,3.03,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
IR 64,6.03,4.02,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
Beras Merah,7.02,5.01,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
Beras Hitam,7.04,6.03,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
panda wangi,6.04,1.01,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
ciheran,7.03,2.02,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
mi kongga,6.05,3.03,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
IR 64,6.06,4.03,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
Beras Merah,7.02,5.02,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
Beras Hitam,7.03,6.04,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
panda wangi,6.06,1.01,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
ciheran,7.02,2.04,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
mi kongga,6.01,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
IR 64,6.04,4.03,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
Beras Merah,7.05,5.02,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
Beras Hitam,7.03,6.02,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
panda wangi,6.01,1.04,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
ciheran,7.04,2.02,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
mi kongga,6.02,3.02,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
IR 64,6.04,4.03,putih,pulen,SRI,Hujan,Burung,2,Grade C
Beras Merah,7.02,5.03,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
Beras Hitam,7.05,6.02,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
panda wangi,6.03,1.01,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
ciheran,7.05,2.03,putih,pulen,SRI,Kemarau,tikus,3,Grade D
mi kongga,6.03,3.05,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
IR 64,6.02,4.05,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
Beras Merah,7.01,5.05,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
Beras Hitam,7.05,6.02,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
panda wangi,6.02,1.03,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
ciheran,7.04,2.03,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
mi kongga,6.01,3.03,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
IR 64,6.04,4.02,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
Beras Merah,7.03,5.02,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
Beras Hitam,7.02,6.02,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
panda wangi,6.01,1.04,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
ciheran,7.01,2.02,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
mi kongga,6.05,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
IR 64,6.03,4.02,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
Beras Merah,7.04,5.03,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
Beras Hitam,7.02,6.02,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
panda wangi,6.01,1.03,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
ciheran,7.03,2.03,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
mi kongga,6.05,3.03,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
IR 64,6.02,4.02,putih,pulen,SRI,Hujan,tikus,2,Grade C
Beras Merah,7.04,1.02,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
Beras Hitam,7.01,6.05,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
panda wangi,6.04,1.02,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
ciheran,7.04,2.02,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
mi kongga,6.02,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
IR 64,6.01,4.03,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
Beras Merah,7.04,5.03,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
Beras Hitam,7.05,6.02,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
panda wangi,6.03,1.04,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
ciheran,7.01,2.02,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
mi kongga,6.03,3.02,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
IR 64,6.04,4.02,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
Beras Merah,7.05,5.03,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
Beras Hitam,7.03,6.02,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
panda wangi,6.05,1.03,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
ciheran,7.05,2.03,putih,pulen,SRI,Kemarau,Burung,5,Grade C
mi kongga,6.02,3.03,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
IR 64,6.05,4.02,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
Beras Merah,7.02,1.02,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
Beras Hitam,7.01,6.05,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
ciheran,7.03,2.02,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
mi kongga,6.02,3.02,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
IR 64,6.04,4.03,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
Beras Merah,7.05,5.03,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
Beras Hitam,7.02,6.02,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
panda wangi,6.04,1.04,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
ciheran,7.02,2.02,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
mi kongga,6.04,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
IR 64,6.03,4.02,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
Beras Merah,7.02,5.03,merah,sangat pulen,SRI,Kemarau,Burung,3,Grade C
Beras Hitam,7.04,6.02,hitam,pulen,SRI,Kemarau,penggerek batang,3,Grade C
panda wangi,6.04,1.03,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
ciheran,7.03,2.03,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
IR 64,6.06,4.02,putih,pulen,SRI,Hujan,Burung,4,Grade C
Beras Merah,7.02,1.02,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
Beras Hitam,7.03,6.05,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
panda wangi,6.06,1.02,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
ciheran,7.02,2.02,putih,pulen,SRI,Kemarau,tikus,5,Grade C
mi kongga,6.01,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
Beras Merah,7.05,5.03,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
Beras Hitam,7.03,6.02,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
panda wangi,6.02,1.02,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
ciheran,7.01,2.03,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
mi kongga,6.03,3.03,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
IR 64,6.02,4.02,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
Beras Merah,7.02,5.01,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
Beras Hitam,7.01,6.03,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
panda wangi,6.02,1.02,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
ciheran,7.02,2.03,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
mi kongga,6.02,3.03,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
IR 64,6.03,4.02,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
Beras Merah,7.04,5.01,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
Beras Hitam,7.02,6.03,hitam,pulen,SRI,Kemarau,Burung,3,Grade C
panda wangi,6.02,1.01,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
ciheran,7.02,2.02,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
mi kongga,6.04,3.03,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
IR 64,6.03,4.03,putih,pulen,SRI,Hujan,tikus,4,Grade C
Beras Merah,7.01,5.02,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
Beras Hitam,7.02,6.04,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
panda wangi,6.04,1.01,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
ciheran,7.02,2.04,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
mi kongga,6.01,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
IR 64,6.03,4.03,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
Beras Merah,7.05,5.02,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
panda wangi,6.0,1.04,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
ciheran,7.01,2.02,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
mi kongga,6.03,3.02,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
IR 64,6.03,4.03,putih,pulen,SRI,Hujan,penggerek batang,2,Grade D
Beras Merah,7.04,5.03,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
Beras Hitam,7.03,6.02,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
panda wangi,6.03,1.01,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
ciheran,7.01,2.03,putih,pulen,SRI,Kemarau,Burung,3,Grade D
mi kongga,6.05,3.05,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
IR 64,6.03,4.05,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
Beras Merah,7.02,5.05,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
Beras Hitam,7.04,6.02,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
panda wangi,6.02,1.03,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
ciheran,7.01,2.03,putih,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
mi kongga,6.03,3.03,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
IR 64,6.04,4.02,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
Beras Merah,7.05,5.02,merah,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
Beras Hitam,7.03,6.02,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
panda wangi,6.05,1.04,coklat,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade A
ciheran,7.05,2.02,putih,pulen,SRI,Kemarau,wereng coklat,5,Grade B
mi kongga,6.02,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
IR 64,6.05,4.02,putih,pulen,Jajar Legowo,Kemarau,tikus,5,Grade C
Beras Merah,7.02,5.03,merah,sangat pulen,SRI,Kemarau,Burung,5,Grade C
Beras Hitam,7.01,6.02,hitam,pulen,SRI,Kemarau,penggerek batang,5,Grade B
panda wangi,6.03,1.02,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade D
ciheran,7.03,2.03,putih,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
mi kongga,6.02,3.03,putih,sangat pulen,SRI,Hujan,tikus,2,Grade C
IR 64,6.04,4.02,putih,pulen,SRI,Hujan,Burung,2,Grade C
Beras Merah,7.05,5.01,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
Beras Hitam,7.01,6.03,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
panda wangi,6.05,1.02,coklat,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
mi kongga,6.02,3.03,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
IR 64,6.04,4.02,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
Beras Merah,7.05,5.01,merah,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade C
Beras Hitam,7.08,6.03,hitam,pulen,SRI,Kemarau,wereng hijau,3,Grade B
panda wangi,6.02,1.01,putih,sangat pulen,Jajar Legowo,Hujan,tikus,4,Grade C
ciheran,7.02,2.02,putih,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
mi kongga,6.07,3.03,putih,sangat pulen,SRI,Hujan,penggerek batang,4,Grade C
IR 64,6.07,4.03,putih,pulen,SRI,Hujan,wereng coklat,4,Grade C
Beras Merah,7.05,5.02,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
Beras Hitam,7.02,6.04,hitam,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
panda wangi,6.04,1.01,coklat,sangat pulen,SRI,Kemarau,Burung,5,Grade B
ciheran,7.01,2.04,putih,pulen,SRI,Kemarau,penggerek batang,5,Grade C
mi kongga,6.02,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
IR 64,6.03,4.03,putih,pulen,Jajar Legowo,Kemarau,wereng hijau,5,Grade B
Beras Merah,7.02,5.02,merah,sangat pulen,SRI,Kemarau,tikus,5,Grade C
Beras Hitam,7.05,6.02,hitam,pulen,SRI,Kemarau,Burung,5,Grade C
panda wangi,6.02,1.04,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade D
ciheran,7.02,2.02,putih,pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
mi kongga,6.01,3.02,putih,sangat pulen,SRI,Hujan,wereng hijau,2,Grade B
IR 64,6.01,4.03,putih,pulen,SRI,Hujan,tikus,2,Grade C
Beras Merah,7.02,5.03,merah,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade C
Beras Hitam,7.01,6.02,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
panda wangi,6.02,1.01,coklat,sangat pulen,SRI,Kemarau,wereng coklat,3,Grade B
ciheran,7.03,2.03,putih,pulen,SRI,Kemarau,wereng hijau,3,Grade B
mi kongga,6.02,3.05,putih,sangat pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
IR 64,6.01,4.05,putih,pulen,Jajar Legowo,Kemarau,Burung,3,Grade D
Beras Merah,7.03,5.05,merah,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade C
Beras Hitam,7.01,6.02,hitam,pulen,SRI,Kemarau,wereng coklat,3,Grade C
panda wangi,6.03,1.03,putih,sangat pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
ciheran,7.02,2.03,putih,pulen,Jajar Legowo,Hujan,tikus,4,Grade C
mi kongga,6.03,3.03,putih,sangat pulen,SRI,Hujan,Burung,4,Grade C
IR 64,6.02,4.02,putih,pulen,SRI,Hujan,penggerek batang,4,Grade C
Beras Merah,7.02,5.02,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
Beras Hitam,7.01,6.02,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
panda wangi,6.02,1.04,coklat,sangat pulen,SRI,Kemarau,tikus,5,Grade B
ciheran,7.03,2.02,putih,pulen,SRI,Kemarau,Burung,5,Grade C
mi kongga,6.04,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
IR 64,6.02,4.02,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,5,Grade C
Beras Merah,7.01,5.03,merah,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
Beras Hitam,7.03,6.02,hitam,pulen,SRI,Kemarau,tikus,5,Grade C
panda wangi,6.03,1.03,putih,sangat pulen,Jajar Legowo,Hujan,Burung,2,Grade D
ciheran,7.03,2.03,putih,pulen,Jajar Legowo,Hujan,penggerek batang,2,Grade C
mi kongga,6.04,3.03,putih,sangat pulen,SRI,Hujan,wereng coklat,2,Grade D
IR 64,6.02,4.02,putih,pulen,SRI,Hujan,wereng hijau,2,Grade B
Beras Merah,7.01,1.02,merah,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade C
Beras Hitam,7.03,6.05,hitam,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
panda wangi,6.01,1.02,coklat,sangat pulen,SRI,Kemarau,penggerek batang,3,Grade B
ciheran,7.03,2.02,putih,pulen,SRI,Kemarau,wereng coklat,3,Grade C
mi kongga,6.05,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,wereng hijau,3,Grade B
IR 64,6.02,4.03,putih,pulen,Jajar Legowo,Kemarau,tikus,3,Grade D
panda wangi,6.02,1.04,putih,sangat pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade C
ciheran,7.02,2.02,putih,pulen,Jajar Legowo,Hujan,wereng hijau,4,Grade B
mi kongga,6.02,3.02,putih,sangat pulen,SRI,Hujan,tikus,4,Grade C
IR 64,6.05,4.02,putih,pulen,SRI,Hujan,Burung,4,Grade C
Beras Merah,7.02,5.03,merah,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
Beras Hitam,7.03,6.02,hitam,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
panda wangi,6.02,1.03,coklat,sangat pulen,SRI,Kemarau,wereng hijau,5,Grade B
ciheran,7.02,2.03,putih,pulen,SRI,Kemarau,tikus,5,Grade C
mi kongga,6.01,3.03,putih,sangat pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
IR 64,6.01,4.02,putih,pulen,Jajar Legowo,Kemarau,penggerek batang,5,Grade D
Beras Merah,7.03,1.02,merah,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade B
Beras Hitam,7.05,6.05,hitam,pulen,SRI,Kemarau,wereng hijau,5,Grade B
panda wangi,6.03,1.02,putih,sangat pulen,Jajar Legowo,Hujan,tikus,2,Grade D
ciheran,7.03,2.02,putih,pulen,Jajar Legowo,Hujan,Burung,2,Grade C
mi kongga,6.02,3.02,putih,sangat pulen,SRI,Hujan,penggerek batang,2,Grade D
IR 64,6.04,4.03,putih,pulen,SRI,Hujan,wereng coklat,2,Grade D
Beras Merah,7.05,5.03,merah,sangat pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
Beras Hitam,7.02,6.02,hitam,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
panda wangi,6.04,1.04,coklat,sangat pulen,SRI,Kemarau,Burung,3,Grade C
ciheran,7.02,2.02,putih,pulen,SRI,Kemarau,penggerek batang,3,Grade D
mi kongga,6.04,3.02,putih,sangat pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
Beras Merah,7.02,5.03,merah,sangat pulen,SRI,Kemarau,tikus,3,Grade C
panda wangi,6.04,1.03,putih,sangat pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade C
ciheran,7.03,2.03,putih,pulen,Jajar Legowo,Hujan,wereng coklat,4,Grade B
mi kongga,6.05,3.03,putih,sangat pulen,SRI,Hujan,wereng hijau,4,Grade B
IR 64,6.06,4.02,putih,pulen,SRI,Hujan,tikus,4,Grade C
Beras Merah,7.02,1.02,merah,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
Beras Hitam,7.03,6.05,hitam,pulen,Jajar Legowo,Hujan,penggerek batang,4,Grade B
panda wangi,6.06,1.02,coklat,sangat pulen,SRI,Kemarau,wereng coklat,5,Grade A
ciheran,7.02,2.02,putih,pulen,SRI,Kemarau,wereng hijau,5,Grade B
IR 64,6.04,4.03,putih,pulen,Jajar Legowo,Kemarau,Burung,5,Grade C
Beras Merah,7.05,5.03,merah,sangat pulen,SRI,Kemarau,penggerek batang,5,Grade B
Beras Hitam,7.03,6.02,hitam,pulen,SRI,Kemarau,wereng coklat,5,Grade B
ciheran,7.02,2.03,putih,pulen,Jajar Legowo,Hujan,tikus,2,Grade C
mi kongga,6.05,3.03,putih,sangat pulen,SRI,Hujan,Burung,2,Grade C
Beras Merah,7.04,5.01,merah,sangat pulen,Jajar Legowo,Hujan,wereng coklat,2,Grade C
Beras Hitam,7.04,6.03,hitam,pulen,Jajar Legowo,Hujan,wereng hijau,2,Grade B
panda wangi,6.02,1.02,coklat,sangat pulen,SRI,Kemarau,tikus,3,Grade C
mi kongga,6.01,3.03,putih,sangat pulen,Jajar Legowo,Kemarau,penggerek batang,3,Grade D
IR 64,6.01,4.02,putih,pulen,Jajar Legowo,Kemarau,wereng coklat,3,Grade D
Beras Merah,7.03,5.01,merah,sangat pulen,SRI,Kemarau,wereng hijau,3,Grade B
Beras Hitam,7.05,6.03,hitam,pulen,SRI,Kemarau,tikus,3,Grade C
panda wangi,6.03,1.01,putih,sangat pulen,Jajar Legowo,Hujan,Burung,4,Grade C
mi kongga,6.02,3.03,putih,sangat pulen,SRI,Hujan,wereng coklat,4,Grade C
IR 64,6.04,4.03,putih,pulen,SRI,Hujan,wereng hijau,4,Grade B
Beras Hitam,7.02,6.04,hitam,pulen,Jajar Legowo,Hujan,Burung,4,Grade C
